student_id,cumulative_gpa,prereq_gpa,gpa_trend,credits_completed,avg_study_hours_weekly,lms_logins_per_week,assignment_submission_timing,forum_participation_count,video_lecture_completion_rate,study_session_regularity,co_curricular_hours_weekly,grit_proxy_score,final_outcome
S1339,3.17,2.80,-0.031,47,21.4,15,Late,4,0.89,4.6,5.7,0.17,At-Risk
S7430,2.86,2.07,0.169,97,21.8,8,On-Time,5,0.19,3.2,10.3,0.69,Pass
S2245,2.59,1.78,-0.105,102,7.4,6,On-Time,10,0.13,2.4,8.6,0.72,Fail
S7699,3.35,2.13,-0.060,95,22.0,6,Early,15,0.71,2.9,1.8,0.34,Fail
S8490,2.08,1.86,-0.168,38,23.0,12,Late,8,0.03,3.1,7.3,0.76,Fail
S7888,3.46,2.71,-0.114,39,24.9,15,On-Time,6,0.16,3.0,11.5,0.13,At-Risk
S6778,2.88,2.00,0.159,77,6.9,3,Early,14,0.36,4.4,9.2,0.29,Fail
S2423,2.29,2.06,0.122,96,9.6,9,Late,5,0.58,4.9,5.5,0.78,Pass
S6674,3.00,3.28,-0.176,94,13.2,8,On-Time,18,0.85,5.3,12.7,0.04,Pass
S4582,2.35,3.07,0.140,79,15.0,3,Early,11,0.85,2.9,2.3,0.50,Pass
S1648,3.15,1.57,-0.113,88,6.2,12,Late,11,0.78,1.4,14.8,0.08,Pass
S4165,3.82,2.43,0.003,92,16.9,3,Late,4,0.41,2.4,7.0,0.22,Pass
S4377,3.27,3.25,-0.038,42,19.8,7,On-Time,0,0.81,2.2,6.6,0.58,Fail
S8422,3.25,2.95,0.037,28,10.0,8,Late,6,0.25,5.8,9.3,0.94,Pass
S3286,3.44,1.58,-0.038,17,22.5,7,Early,3,0.13,4.7,3.8,0.88,Fail
S4218,2.77,3.97,-0.172,49,15.1,13,Early,14,0.14,3.5,0.0,0.45,Pass
S2350,3.39,3.67,-0.056,69,6.9,8,Early,18,0.80,2.8,4.6,0.76,Fail
S3461,3.80,2.45,0.114,40,11.5,8,On-Time,13,0.15,2.1,6.3,0.23,At-Risk
S9138,2.44,3.14,0.050,78,24.6,4,Late,6,0.35,3.1,12.2,1.00,Pass
S9768,3.33,2.14,-0.024,35,14.2,13,Late,3,0.31,2.9,11.1,0.64,Pass
S7110,2.01,3.33,0.150,33,5.4,8,Early,7,0.66,2.0,1.0,0.19,At-Risk
S5392,2.54,3.33,0.139,35,15.6,4,Late,18,0.68,2.4,11.0,0.31,Pass
S2167,2.53,3.66,-0.007,23,22.7,14,On-Time,17,0.06,4.3,6.0,0.76,Pass
S3390,2.12,3.38,-0.043,70,13.3,10,On-Time,4,0.52,3.9,2.5,0.84,At-Risk
S8441,2.96,1.67,-0.159,44,22.5,14,Late,15,0.69,2.7,6.4,0.28,Pass
S3049,3.91,2.67,0.112,67,22.0,15,On-Time,5,0.81,4.8,3.0,0.73,Pass
S9351,2.72,3.08,0.019,42,18.6,15,Early,7,0.11,3.4,8.3,1.00,Fail
S1551,3.17,3.86,-0.191,69,10.6,15,Late,17,0.97,1.1,14.5,0.51,At-Risk
S1891,2.19,2.58,0.158,94,12.1,5,Late,2,0.16,3.6,10.1,0.67,Pass
S7904,3.26,1.64,0.065,56,24.7,10,Early,0,0.83,2.4,6.5,0.21,Fail
S7183,3.66,2.64,0.136,78,16.0,5,On-Time,10,0.05,4.6,2.6,0.57,At-Risk
S5107,2.90,3.21,-0.094,107,13.4,7,On-Time,3,0.91,3.2,7.8,0.99,Pass
S2273,2.82,3.08,-0.075,114,24.8,6,Early,4,0.75,1.6,2.4,0.80,Pass
S4574,3.85,1.79,-0.140,61,21.8,9,Late,6,0.85,5.9,7.0,0.09,At-Risk
S7173,2.70,3.61,-0.068,85,9.6,3,On-Time,11,0.61,4.4,14.3,0.84,Pass
S3807,3.16,3.32,-0.050,51,8.0,6,On-Time,14,0.19,4.9,6.3,0.00,At-Risk
S3167,2.15,2.13,-0.154,19,17.5,15,On-Time,5,0.14,4.4,12.3,0.34,Pass
S9314,3.85,3.75,0.189,112,5.4,10,Early,12,0.32,1.3,4.7,0.87,At-Risk
S6347,2.82,3.55,-0.022,87,16.1,7,Late,1,0.24,3.4,14.2,0.19,Pass
S7787,2.17,2.02,-0.025,30,9.8,15,Early,4,0.74,4.9,14.4,0.18,Pass
S8418,2.61,1.84,-0.093,87,23.8,14,On-Time,7,0.44,2.7,10.2,0.77,Pass
S2519,3.31,3.52,-0.021,58,11.7,13,Late,1,0.51,1.8,6.4,0.68,Fail
S9743,3.65,2.57,0.025,18,23.7,9,Late,1,0.60,4.4,0.1,0.53,At-Risk
S7078,3.59,1.88,0.146,74,13.3,12,On-Time,12,0.04,3.3,9.5,0.54,Pass
S9637,2.78,3.73,-0.025,51,23.8,8,Early,19,0.71,3.0,4.8,0.78,Pass
S5227,3.22,3.69,0.185,39,10.8,5,On-Time,1,0.03,1.1,3.2,0.79,Pass
S7919,2.50,2.05,0.004,90,21.8,8,Late,17,0.04,4.5,5.1,0.76,At-Risk
S3098,3.47,3.96,0.161,51,21.8,10,On-Time,4,0.69,3.9,9.6,0.97,Pass
S8702,2.43,2.50,-0.001,112,14.4,10,Early,9,0.48,5.2,6.3,0.88,Fail
S2614,2.45,2.19,-0.006,118,17.1,4,Early,17,0.29,5.1,8.2,0.10,Pass
S8446,3.30,3.42,-0.168,105,11.9,10,On-Time,4,0.13,3.0,14.5,0.33,Pass
S4158,3.28,1.53,-0.152,47,18.0,10,On-Time,10,0.83,1.8,5.7,0.78,At-Risk
S4252,3.44,2.26,-0.193,34,18.6,7,Late,11,0.20,4.5,3.3,0.82,Pass
S2498,2.81,3.58,-0.174,15,18.9,13,Early,19,0.06,5.0,3.5,0.68,Pass
S4411,3.68,1.91,0.001,42,16.7,15,On-Time,5,0.11,3.3,3.4,0.67,Pass
S2958,2.87,3.84,0.165,93,13.6,9,On-Time,6,0.70,1.1,14.4,0.15,Fail
S5198,2.89,2.76,0.110,48,16.5,7,Early,0,0.82,4.6,0.9,0.10,Pass
S3838,3.97,2.75,-0.071,116,8.6,13,On-Time,10,0.92,4.5,8.1,0.21,Fail
S5919,3.90,2.77,0.189,105,10.6,15,Late,12,0.46,6.0,4.7,0.75,Pass
S8089,3.52,2.37,-0.198,117,19.2,6,On-Time,14,0.11,2.0,10.3,0.65,At-Risk
S8211,4.00,3.20,-0.099,54,14.3,3,Early,16,0.20,4.8,12.6,0.51,Fail
S1233,2.55,3.69,0.184,37,12.6,13,Late,1,0.80,2.4,10.5,0.53,Pass
S8586,3.88,2.54,-0.146,37,9.5,11,Late,1,0.34,1.1,10.9,0.55,Pass
S3535,2.91,2.07,0.182,103,14.6,8,Early,18,0.95,3.7,8.6,0.76,Fail
S2230,3.13,3.42,-0.148,99,15.0,9,Late,18,0.68,2.7,8.2,0.61,Pass
S7423,3.04,3.27,-0.095,61,21.6,10,Late,18,0.42,5.1,5.6,0.11,Fail
S7048,2.19,2.81,0.034,17,20.9,8,On-Time,1,0.13,5.6,12.1,0.56,Pass
S7166,2.13,2.63,0.058,34,18.5,10,Early,13,0.69,1.7,12.5,0.32,Fail
S8961,2.81,2.69,0.119,114,8.2,12,Early,12,0.55,1.4,11.0,0.20,At-Risk
S3788,2.87,2.42,0.035,19,20.2,3,Late,10,0.86,4.0,3.1,0.56,Fail
S8455,3.06,3.96,-0.050,83,13.8,8,Late,4,0.89,5.8,3.2,0.29,At-Risk
S3246,2.66,2.21,0.113,55,19.0,4,Late,12,0.87,5.2,5.8,0.09,Pass
S6374,2.74,3.43,0.137,70,19.9,9,Late,2,0.54,2.5,0.7,0.86,Pass
S7849,3.34,2.45,0.148,92,16.9,7,On-Time,4,0.01,3.2,4.0,0.15,Pass
S9972,3.40,3.90,0.002,76,8.9,3,On-Time,15,0.91,5.0,6.6,0.77,Pass
S9929,3.40,3.68,-0.036,103,22.8,8,Early,2,0.63,5.0,5.2,0.20,Pass
S5204,2.76,2.47,0.022,33,22.8,5,Late,1,0.34,3.0,10.6,0.45,Pass
S5767,2.69,3.77,-0.149,115,14.6,10,Early,12,0.11,1.8,8.9,0.27,Pass
S3279,3.74,1.84,-0.027,114,8.3,8,Late,19,0.16,1.2,4.6,0.03,Pass
S2760,3.66,3.41,-0.044,59,6.1,11,Late,7,0.16,5.5,8.2,0.68,Fail
S8453,3.86,2.33,-0.026,111,6.1,4,Late,19,0.09,3.4,0.2,0.57,At-Risk
S1846,3.05,2.13,0.180,59,19.9,6,Late,19,0.21,1.4,10.2,0.95,Pass
S6075,3.28,2.01,0.028,15,5.8,4,Early,19,0.83,3.9,6.8,0.63,Pass
S9174,2.15,2.49,0.168,21,23.9,3,On-Time,3,0.24,2.4,0.1,0.96,Pass
S6888,3.21,2.42,0.071,82,5.6,6,Late,13,0.91,4.5,12.4,0.09,Fail
S5027,3.46,2.38,-0.195,81,13.8,12,On-Time,18,0.69,3.9,14.3,0.38,Pass
S3571,2.89,2.45,0.111,87,16.7,5,Late,16,0.80,2.5,13.0,0.15,Pass
S4995,3.97,2.98,-0.191,34,20.3,9,Late,5,0.73,5.4,6.9,0.34,Pass
S1541,3.10,2.82,0.075,82,13.5,7,On-Time,19,0.32,5.7,1.7,0.66,Fail
S6395,2.85,2.24,0.025,49,21.2,12,On-Time,16,0.75,3.5,4.8,0.36,At-Risk
S6995,2.08,3.72,0.149,18,7.8,5,Late,7,0.17,3.1,5.3,0.67,Pass
S8941,3.67,1.67,-0.181,40,18.5,3,Late,0,0.07,5.4,12.5,0.52,Pass
S8211,2.02,3.03,0.027,26,8.8,15,Early,1,0.84,2.0,5.9,0.19,Pass
S1673,3.09,3.52,0.171,17,21.0,15,On-Time,5,0.95,4.7,9.4,0.86,Pass
S4092,2.02,2.69,-0.151,93,7.6,8,On-Time,9,0.72,1.4,0.5,0.29,Pass
S6119,2.15,3.83,-0.130,36,10.8,5,On-Time,14,0.78,2.3,11.6,0.09,Pass
S7963,3.58,3.20,0.050,80,7.0,8,On-Time,19,0.43,1.5,4.3,0.35,Pass
S4726,3.93,3.38,-0.194,70,16.2,8,Early,14,0.64,4.5,2.5,0.48,Pass
S8619,2.54,3.75,0.100,83,16.1,5,On-Time,15,0.45,4.7,13.1,0.64,At-Risk
S6526,3.77,1.95,0.165,18,8.5,15,Early,4,0.95,2.0,1.7,0.04,Pass
S5624,3.56,2.92,0.150,82,10.1,14,On-Time,2,0.99,2.9,14.6,0.08,Pass
S7059,2.02,3.08,0.123,51,24.1,4,On-Time,15,0.51,5.0,3.0,0.96,Pass
S1853,3.11,2.59,-0.027,38,14.8,15,Early,18,0.06,5.3,2.5,0.34,Pass
S4549,3.25,2.01,0.038,38,12.0,11,Late,7,0.74,4.6,5.9,0.24,Pass
S7292,2.91,2.42,0.012,16,16.6,15,On-Time,18,0.89,3.5,10.7,0.08,At-Risk
S9320,3.95,1.73,0.147,49,5.7,7,Late,17,0.11,5.7,6.4,0.67,At-Risk
S9084,3.89,2.45,0.118,22,16.8,5,On-Time,5,0.46,2.1,0.3,0.55,At-Risk
S1469,2.75,2.20,0.155,46,20.6,14,On-Time,9,0.91,1.2,5.5,0.95,Pass
S6826,2.70,3.85,0.002,69,11.7,9,On-Time,2,0.44,5.9,5.5,0.33,At-Risk
S7793,3.18,2.56,0.134,19,16.2,6,Late,13,0.26,1.6,7.6,0.15,Pass
S5117,2.66,2.82,0.169,64,16.9,4,Early,6,0.24,3.4,13.3,0.43,Pass
S9954,2.83,1.69,-0.088,44,23.0,14,Late,0,0.29,2.0,7.1,0.33,Pass
S8354,3.20,2.53,0.169,41,17.2,12,On-Time,4,0.41,1.2,12.5,0.55,Pass
S7907,3.10,1.64,0.171,49,15.0,10,On-Time,13,0.66,4.8,8.4,0.54,At-Risk
S8776,3.88,3.27,0.139,99,21.2,8,Late,5,0.21,4.7,0.5,0.66,Pass
S4565,3.43,1.88,0.037,35,6.7,3,On-Time,17,0.28,3.4,5.6,0.92,At-Risk
S3766,2.81,3.19,0.043,44,21.2,13,On-Time,7,0.52,5.9,9.5,0.76,Pass
S1729,3.99,1.62,-0.023,100,15.4,11,On-Time,12,0.31,2.8,9.8,0.15,Pass
S6396,3.66,2.14,-0.177,24,17.5,6,Early,5,0.89,5.9,1.1,0.95,Pass
S7252,2.93,2.66,-0.010,79,8.3,6,Early,18,0.37,5.6,6.2,0.15,Pass
S4221,3.09,3.72,0.035,120,8.6,10,Early,7,0.95,5.0,5.0,0.72,Pass
S8468,2.06,3.03,-0.098,51,14.8,9,On-Time,18,0.05,5.5,4.4,0.94,Fail
S1331,2.76,2.82,0.198,72,5.3,8,Early,6,0.99,3.6,6.3,0.50,At-Risk
S1857,3.10,3.62,0.160,24,23.6,14,Late,12,0.61,5.3,2.4,0.85,Pass
S8643,3.76,3.93,0.036,91,10.8,14,Early,11,0.83,4.0,1.3,0.46,Pass
S6972,2.39,3.00,-0.074,76,24.7,13,Late,7,0.03,2.9,14.5,0.97,Pass
S9450,3.60,2.47,0.021,115,5.4,5,Late,9,0.93,4.1,12.5,0.54,Pass
S1610,2.12,2.85,0.069,92,17.2,9,Late,7,0.16,2.7,13.0,0.74,Pass
S8219,3.68,1.79,0.019,32,15.9,14,On-Time,2,0.74,1.7,2.0,0.77,At-Risk
S3233,2.01,1.50,-0.138,61,20.6,14,On-Time,10,0.26,2.8,8.8,0.97,At-Risk
S9637,3.26,3.31,0.031,45,10.4,5,Early,6,0.33,5.6,13.6,0.81,Pass
S8636,3.57,3.15,0.171,82,12.9,4,Late,4,0.72,4.6,0.1,0.93,Pass
S8906,3.90,2.20,-0.161,110,18.2,3,Late,12,0.22,2.6,4.2,0.73,At-Risk
S7879,2.81,2.61,-0.046,76,12.2,10,Early,1,0.04,2.8,0.6,0.81,Pass
S2292,2.47,3.83,-0.052,30,14.2,13,Early,16,0.51,5.9,8.3,0.08,Pass
S9447,3.45,3.30,0.050,59,23.8,7,Late,1,0.09,1.7,11.1,0.40,Fail
S8922,2.59,3.19,-0.168,112,8.9,5,On-Time,11,0.24,4.4,6.4,0.17,Pass
S4682,2.62,3.25,-0.124,115,13.0,10,Late,13,0.54,3.1,9.8,0.99,Pass
S4830,2.62,2.57,-0.125,43,22.6,11,Late,7,1.00,4.3,7.6,0.62,Pass
S6447,3.14,1.81,-0.180,90,21.7,13,Early,9,0.65,5.6,6.5,0.55,Pass
S3254,2.11,2.25,-0.185,25,5.6,4,On-Time,15,0.76,5.5,0.5,0.17,Fail
S9054,2.17,1.95,0.135,41,10.8,3,Late,0,0.22,4.2,10.7,0.16,Pass
S2183,2.77,1.87,0.092,19,22.6,5,Late,12,0.02,5.1,12.7,0.71,Pass
S4431,2.47,3.17,-0.071,86,7.5,15,On-Time,17,0.85,2.3,2.6,0.67,Fail
S6154,3.94,2.48,0.086,88,22.5,5,Late,19,0.16,2.3,9.6,0.60,Pass
S9547,2.09,2.59,-0.133,62,17.4,12,On-Time,15,0.39,4.0,14.3,0.61,At-Risk
S5297,2.60,1.59,0.064,118,13.1,5,Late,16,0.02,4.2,6.9,0.17,At-Risk
S6083,2.63,1.60,0.155,63,21.5,5,Late,6,0.72,3.6,3.4,0.41,Pass
S1637,3.76,3.94,0.024,105,20.5,13,Late,7,0.80,2.4,5.8,0.58,Fail
S8353,3.91,3.16,-0.158,45,18.7,7,Late,15,0.68,5.5,1.1,0.76,Pass
S1635,3.48,2.88,-0.163,39,14.3,3,On-Time,7,0.13,2.0,8.7,0.82,Pass
S7479,3.24,2.27,-0.193,95,12.7,11,Late,18,0.36,5.5,8.7,0.34,Fail
S1988,2.35,2.34,-0.109,29,16.8,14,Late,18,0.47,1.0,7.0,0.02,Pass
S7807,3.08,1.99,-0.142,95,24.5,14,Late,12,0.55,4.2,3.2,0.68,Pass
S4675,3.43,1.94,-0.164,27,18.0,7,Late,5,0.68,1.0,3.9,1.00,Pass
S2585,3.32,2.61,-0.076,42,9.3,11,Early,2,0.48,5.2,6.2,0.41,Pass
S7255,2.70,2.78,-0.172,117,15.3,7,On-Time,1,0.92,4.5,10.0,0.06,Pass
S5882,3.96,1.51,0.148,82,18.9,4,On-Time,3,0.80,5.9,7.0,0.59,Pass
S4411,2.11,3.76,-0.130,76,17.8,13,On-Time,15,0.73,3.1,13.2,0.05,Pass
S5759,2.31,3.51,-0.120,34,8.6,3,Late,11,0.83,3.7,9.1,0.45,Pass
S9750,2.93,3.57,0.058,33,16.5,10,Early,3,0.37,2.2,12.5,0.63,Pass
S9693,2.79,2.01,-0.027,115,9.8,10,Early,1,0.03,3.8,5.8,0.31,Fail
S7851,3.85,3.35,0.126,88,18.6,3,Early,12,0.51,2.0,9.9,0.84,Pass
S2248,3.04,3.09,-0.024,94,6.8,15,Late,7,0.75,3.3,3.9,0.71,At-Risk
S7555,3.32,2.40,-0.114,65,7.5,4,On-Time,17,0.98,4.3,6.3,0.91,Pass
S3996,2.74,2.88,-0.173,67,19.4,5,Late,5,0.19,1.3,7.2,0.86,At-Risk
S7520,2.63,2.04,0.176,35,7.0,10,Late,15,0.97,1.1,1.8,0.27,Fail
S6690,2.75,2.95,0.048,90,9.5,3,On-Time,10,0.67,5.3,2.4,0.31,Pass
S9014,3.31,2.62,-0.101,119,11.7,13,Late,15,0.35,4.0,13.9,0.87,At-Risk
S9686,2.87,3.86,0.035,51,13.8,12,Early,7,0.06,4.2,10.4,0.86,Pass
S3960,3.10,3.66,-0.030,113,21.1,5,Late,17,0.27,5.5,9.7,0.73,Pass
S4614,2.08,1.89,0.059,102,20.9,3,Early,15,0.58,2.1,4.6,0.75,Fail
S1238,2.48,2.03,0.161,87,19.4,11,On-Time,17,0.05,5.4,6.9,0.72,Pass
S7300,3.18,3.79,0.153,49,13.3,10,Early,7,0.74,3.5,14.2,0.07,Pass
S1226,3.55,3.37,0.042,58,20.5,9,On-Time,12,0.26,4.9,13.8,0.63,Fail
S1940,2.09,2.24,-0.092,53,14.7,11,Late,13,0.57,5.0,5.9,0.44,Fail
S8603,3.59,1.55,0.023,117,17.2,6,Late,0,0.11,5.6,2.7,0.45,Fail
S4516,3.53,1.87,-0.032,71,22.1,10,Late,19,0.15,2.8,9.0,0.92,Pass
S2390,2.94,3.83,0.104,46,16.5,6,On-Time,9,0.01,5.9,7.1,0.91,At-Risk
S2476,3.24,3.50,0.022,79,23.3,6,On-Time,7,0.29,1.8,4.8,0.18,Fail
S7252,3.54,1.55,-0.087,27,18.5,3,On-Time,9,0.48,2.7,12.7,0.31,Pass
S4651,2.72,3.88,0.099,101,18.6,10,Late,2,0.55,5.7,14.5,0.95,Fail
S5040,3.86,1.53,0.053,106,21.9,4,Early,17,0.26,4.7,2.2,0.52,Fail
S3425,2.40,3.68,-0.040,55,8.4,6,Late,1,0.47,3.9,10.5,0.65,Fail
S1592,2.39,3.04,-0.057,100,13.0,15,Late,8,0.61,2.6,4.1,0.31,At-Risk
S2163,3.43,3.48,0.195,48,5.2,10,Early,11,0.03,3.5,12.3,0.36,Pass
S5778,3.59,2.96,0.164,71,21.0,13,Late,19,0.98,4.3,9.5,0.91,Pass
S8878,3.84,3.01,-0.187,67,10.8,3,Late,8,0.42,4.1,5.1,0.93,Pass
S1797,2.37,3.96,0.103,77,17.2,5,On-Time,8,0.86,2.3,13.2,0.75,Pass
S5153,3.28,3.41,-0.062,113,18.4,11,On-Time,6,0.00,2.4,13.2,0.47,At-Risk
S4724,3.04,3.43,0.095,55,19.9,15,Late,3,0.85,2.1,13.9,0.56,At-Risk
S7315,2.24,2.70,0.002,46,20.1,10,On-Time,2,0.54,4.1,11.2,0.98,Pass
S1306,2.84,2.91,0.068,58,24.0,6,Early,16,0.07,1.7,2.2,0.66,Pass
S3858,3.76,1.78,0.039,98,18.7,6,Early,2,0.71,1.3,4.7,0.27,At-Risk
S1011,3.80,3.26,-0.114,80,15.9,9,On-Time,5,0.74,2.6,13.1,0.48,At-Risk
S3111,3.68,3.67,-0.120,28,5.2,3,Late,8,0.79,1.9,9.5,0.16,Pass
S8322,3.33,2.89,0.192,27,12.9,11,On-Time,11,0.03,1.7,2.0,0.36,Pass
S2161,3.29,3.27,0.043,104,20.8,11,On-Time,0,0.72,4.2,4.0,0.87,Pass
S6289,3.10,1.59,0.155,24,8.2,4,Late,9,0.21,4.7,9.4,0.66,Pass
S3028,2.65,2.83,-0.068,106,24.0,7,Late,10,0.23,4.2,6.3,0.72,At-Risk
S5318,2.54,2.58,0.111,115,20.1,10,Late,5,0.96,1.0,14.7,0.94,Pass
S4082,2.20,2.96,0.124,43,23.2,11,Late,15,0.43,2.6,4.6,0.02,Pass
S4224,2.82,2.58,-0.095,98,7.3,11,On-Time,9,0.04,4.3,2.8,0.63,Pass
S2719,3.05,1.82,-0.028,55,13.4,7,Early,3,0.47,4.2,10.9,0.29,At-Risk
S7527,3.31,2.58,0.141,17,8.1,3,Late,2,0.07,4.5,6.0,0.73,At-Risk
S9282,3.69,2.48,0.089,17,18.7,12,Late,10,0.56,3.1,14.6,0.62,Pass
S8997,2.52,1.68,-0.082,50,5.4,12,Early,2,0.71,1.5,13.1,0.93,Pass
S9230,3.19,3.26,0.148,24,19.4,11,On-Time,2,0.21,3.9,13.2,0.41,At-Risk
S4452,3.63,1.62,-0.119,104,16.2,11,On-Time,0,0.99,4.8,3.0,0.85,Pass
S8564,2.92,3.85,-0.026,49,24.1,14,Early,0,0.68,4.9,3.8,0.21,At-Risk
S6805,2.39,1.88,0.158,69,6.3,7,Late,17,0.92,3.8,12.4,0.63,Pass
S9496,2.77,1.96,-0.062,56,7.0,4,Late,13,0.74,1.6,6.1,0.99,Pass
S9360,3.65,2.90,0.010,102,10.2,4,Late,8,0.33,5.6,11.3,0.68,Fail
S6371,3.91,3.16,-0.152,32,10.2,15,On-Time,9,0.66,2.3,1.3,0.47,Pass
S5360,2.29,2.46,-0.029,91,15.3,6,Early,9,0.03,2.8,7.9,0.78,Pass
S1841,3.92,3.76,-0.050,40,10.5,15,Early,1,0.42,4.3,8.0,0.84,Pass
S9783,2.70,2.72,0.090,95,12.3,10,Late,12,0.13,3.5,7.5,0.35,At-Risk
S7286,2.60,1.89,0.012,98,12.0,7,On-Time,12,0.22,2.0,13.0,0.70,At-Risk
S2390,2.75,2.75,-0.119,70,9.2,7,On-Time,3,0.65,2.1,4.2,0.98,Pass
S9483,2.15,1.69,0.125,74,23.0,13,Early,3,0.19,5.5,10.4,0.17,At-Risk
S8021,2.24,1.85,-0.038,49,11.5,5,Late,5,0.40,1.1,7.3,0.27,At-Risk
S2533,3.86,3.10,-0.005,37,18.4,4,On-Time,12,0.39,1.1,14.2,0.37,Pass
S8140,3.92,3.35,0.198,26,6.5,8,Early,7,0.06,4.9,10.8,0.84,Pass
S4029,3.39,2.27,-0.065,102,6.8,13,Early,14,0.05,2.5,0.4,0.07,Pass
S7636,2.89,1.68,-0.051,80,13.3,11,Early,17,0.59,4.0,12.2,0.62,Pass
S1477,2.43,2.68,-0.040,91,22.5,12,Early,7,0.04,4.0,1.9,0.59,At-Risk
S4867,2.63,2.42,0.010,100,17.2,8,On-Time,2,0.77,1.2,4.5,0.46,At-Risk
S8975,2.98,1.75,0.182,69,23.1,6,On-Time,3,0.60,3.9,13.0,0.01,Pass
S8958,3.43,3.05,-0.144,76,9.6,10,Early,9,0.11,3.5,2.5,0.84,Pass
S9124,3.99,3.16,0.102,54,11.3,13,On-Time,1,0.36,5.3,2.3,0.58,Pass
S5347,3.38,1.88,0.186,78,12.7,4,Early,14,0.96,5.6,12.3,0.99,Pass
S5210,2.65,2.33,0.002,79,22.4,3,Early,15,0.52,2.1,3.9,0.38,Fail
S4583,3.81,2.45,-0.032,75,9.1,6,On-Time,17,0.83,4.2,4.8,0.13,Fail
S3619,2.09,2.41,0.044,64,16.1,3,Early,12,0.38,2.2,3.5,0.23,Fail
S3371,3.29,3.71,-0.020,78,16.3,11,Late,18,0.04,4.5,13.3,0.07,At-Risk
S7513,3.57,3.48,-0.141,29,14.1,7,Late,8,0.05,5.9,6.8,0.92,Pass
S1872,2.10,3.26,0.053,105,6.8,14,On-Time,4,0.56,1.4,9.1,0.96,Pass
S3749,3.22,2.38,-0.157,24,22.0,4,Early,3,0.45,1.8,8.0,0.57,Pass
S5245,3.17,3.69,0.022,73,12.5,11,On-Time,15,0.12,3.8,6.7,0.37,Pass
S6054,3.27,3.11,0.149,78,16.7,13,On-Time,1,0.52,2.9,5.9,0.31,Pass
S9450,3.57,2.07,-0.041,21,14.5,5,Late,15,0.57,3.6,6.8,0.57,Pass
S1442,3.75,2.89,0.185,76,18.3,6,Early,14,0.74,4.1,9.9,0.24,Fail
S7291,2.47,2.61,0.127,53,17.7,6,Early,17,0.51,1.5,4.1,0.07,Pass
S6891,2.72,3.87,-0.198,74,7.8,7,Late,0,0.84,1.9,3.5,0.58,Fail
S5711,3.61,2.35,-0.184,91,10.6,15,On-Time,19,0.09,4.8,12.9,0.45,At-Risk
S2264,2.98,2.88,0.191,21,8.5,8,Early,9,0.77,3.8,2.7,0.06,Fail
S9345,2.29,2.56,-0.110,75,9.7,7,Early,0,0.20,4.9,7.0,0.37,At-Risk
S9477,3.29,1.90,0.076,22,13.9,8,On-Time,14,0.99,5.7,12.3,0.66,Pass
S6311,2.79,3.24,-0.167,93,9.7,9,Late,5,0.78,2.5,13.5,0.88,Pass
S2925,2.10,1.60,0.008,110,19.8,15,Late,8,0.88,3.6,1.7,0.47,Fail
S1261,2.40,3.19,0.088,104,17.7,15,On-Time,11,0.43,3.2,14.4,0.98,Pass
S2153,3.75,3.03,-0.039,35,20.9,12,Early,2,0.53,3.4,3.4,0.89,Pass
S5675,3.83,3.31,0.104,115,13.3,4,On-Time,7,0.28,4.7,3.4,0.39,Pass
S4774,3.20,2.43,-0.180,40,13.8,5,Early,16,0.71,5.8,6.5,0.04,At-Risk
S3408,2.22,2.91,0.078,68,12.8,15,Late,3,0.11,5.1,0.2,0.62,Pass
S2649,3.27,1.62,-0.021,69,23.5,10,Early,3,0.10,2.8,3.0,0.47,Fail
S8490,2.59,1.77,0.000,71,19.4,9,On-Time,1,0.67,2.7,8.8,0.27,At-Risk
S9301,2.31,1.59,0.037,67,16.0,13,On-Time,13,0.77,5.6,8.5,0.02,At-Risk
S8170,3.83,2.68,-0.002,17,17.4,9,On-Time,18,0.35,1.5,10.5,0.55,At-Risk
S8590,2.44,1.70,-0.016,84,15.4,6,Late,6,0.92,3.3,10.8,0.02,Pass
S7212,3.12,2.26,-0.022,78,12.5,9,Late,7,0.98,3.6,4.2,0.09,Fail
S4635,2.32,1.92,-0.097,102,6.0,6,Late,5,0.88,3.3,13.3,0.75,At-Risk
S2446,2.96,2.26,0.170,65,15.6,8,On-Time,4,0.98,2.4,6.7,0.02,Pass
S1987,2.26,3.32,0.159,90,19.6,15,Late,0,0.29,2.9,6.5,0.04,Pass
S4561,2.59,1.59,0.172,79,13.6,10,Late,4,0.71,2.4,10.6,0.19,Fail
S6048,2.06,1.58,0.093,87,7.5,10,Early,12,0.68,1.6,3.4,0.24,Fail
S8153,2.00,3.93,0.094,27,23.0,15,Late,19,0.04,4.9,7.2,0.80,Pass
S7745,3.12,3.73,0.019,103,18.0,14,Late,6,0.09,5.8,3.5,0.40,At-Risk
S9022,2.36,3.46,0.199,115,10.4,15,On-Time,1,0.28,5.0,12.4,0.15,Pass
S6452,3.25,2.86,0.114,43,18.2,11,Late,2,0.14,3.4,5.6,0.65,Fail
S5721,3.00,3.76,-0.148,101,16.8,15,Late,7,0.24,5.5,5.8,0.69,Pass
S8159,3.83,3.66,-0.188,85,21.6,13,On-Time,3,0.25,5.5,10.1,0.90,Pass
S3348,2.91,2.26,0.159,54,7.2,10,Early,1,0.60,5.7,10.3,0.33,Pass
S7898,3.53,3.39,0.102,20,19.9,10,Early,15,0.09,4.1,8.5,0.76,Pass
